Question,Answer
"শিশু আইন, ২০১৩ অনুযায়ী, শিশুকে নিরাপদ হেফাজতে রাখার বিষয়টিকে কীভাবে বিবেচনা করা হবে?",শিশুকে নিরাপদ হেফাজতে রাখার বিষয়টিকে সর্বশেষ পন্থা হিসাবে বিবেচনা করতে হবে।
নিরাপদ হেফাজতে রক্ষিত শিশুকে কত দ্রুত বিকল্পপন্থায় পরিচালনার জন্য প্রেরণ করতে হবে?,সম্ভাব্য দ্রুততম সময়ের মধ্যে।
শিশুকে নিরাপদ হেফাজতে রাখার একান্ত প্রয়োজন হলে শিশু-আদালত কোন প্রতিষ্ঠানে প্রেরণ করার জন্য আদেশ দিতে পারে?,"শিশু-আদালত সংশ্লিষ্ট শিশুকে উক্ত আদালত হইতে যুক্তিসঙ্গত দূরত্বের মধ্যে অবস্থিত কোন প্রত্যয়িত প্রতিষ্ঠানে প্রেরণ করার জন্য আদেশ দিতে পারে। তবে, এই প্রতিষ্ঠানে অবস্থানকারী অধিক বয়স্ক শিশুদের হইতে প্রেরিত শিশুকে পৃথক করিয়া রাখতে হইবে।"
"শিশু আইন, ২০১৩ অনুযায়ী, শিশুদের সাক্ষ্য গ্রহণের সময় কোন ভাষা ব্যবহার করতে হবে?",শিশুর জন্য সরল ও বোধগম্য ভাষা।
শিশুর সাক্ষ্য ব্যাখ্যা করার জন্য কীভাবে সহায়তা প্রদান করা হয়?,আদালত বিনা খরচে শিশুকে একজন ব্যাখ্যাকারী প্রদান করবে।
"শিশু আইন, ২০১৩-এর এই বিধানের উদ্দেশ্য কী?",শিশুদের আইনি প্রক্রিয়া বোঝার এবং তাদের সাক্ষ্য সঠিকভাবে প্রদান করার সুযোগ নিশ্চিত করা।
"শিশু আইন, ২০১৩ অনুযায়ী, শিশু-আদালতে বিচারাধীন কোন মামলায় কোন শিশুর কোন তথ্য প্রকাশ করা যাবে না?","সংশ্লিষ্ট শিশুকে শনাক্তকরণে প্রত্যক্ষ বা পরোক্ষভাবে সাহায্য করে এমন ছবি, বর্ণনা, সংবাদ বা রিপোর্ট।"
শিশু আইনের কোন ধারায় শিশু-আদালতের কার্যক্রমের গোপনীয়তা নিশ্চিত করা হয়েছে?,ধারা ২৮(১)
শিশু-আদালত কোন ক্ষেত্রে শিশুর ছবি বা তথ্য প্রকাশের অনুমতি দিতে পারে?,"যদি শিশু-আদালতের কাছে প্রতীয়মান হয় যে শিশুর ছবি, বর্ণনা, সংবাদ বা রিপোর্ট প্রকাশ করা শিশুর স্বার্থের জন্য ক্ষতিকর হবে না।"
"শিশু আইন, ২০১৩ অনুযায়ী, শিশু-আদালত কোন শর্তে শিশুকে জামিনে মুক্তি দিতে পারে?","শিশু-আদালত অপরাধটি জামিনযোগ্য বা অজামিনযোগ্য যাই হোক না কেন, শিশুকে জামানতসহ বা জামানত ছাড়াই জামিনে মুক্তি দিতে পারে।"
